Date,Volume,Name
2019-11-30,17158194786,BTC-USD
2019-12-01,18720708479,BTC-USD
2019-12-02,17082040706,BTC-USD
2019-12-03,14797485769,BTC-USD
2019-12-04,21664240918,BTC-USD
2019-12-05,18816085231,BTC-USD
2019-12-06,18104466307,BTC-USD
2019-12-07,15453520564,BTC-USD
2019-12-08,15409908086,BTC-USD
2019-12-09,17872021272,BTC-USD
2019-12-10,18249031195,BTC-USD
2019-12-11,16350490689,BTC-USD
2019-12-12,18927080224,BTC-USD
2019-12-13,17125736940,BTC-USD
2019-12-14,17137029730,BTC-USD
2019-12-15,16881129804,BTC-USD
2019-12-16,20213265950,BTC-USD
2019-12-17,22363804217,BTC-USD
2019-12-18,31836522778,BTC-USD
2019-12-19,25904604416,BTC-USD
2019-12-20,22633815180,BTC-USD
2019-12-21,19312552168,BTC-USD
2019-12-22,23134537956,BTC-USD
2019-12-23,27831788041,BTC-USD
2019-12-24,22991622105,BTC-USD
2019-12-25,21559505149,BTC-USD
2019-12-26,22787010034,BTC-USD
2019-12-27,22777360996,BTC-USD
2019-12-28,21365673026,BTC-USD
2019-12-29,22445257702,BTC-USD
2019-12-30,22874131672,BTC-USD
2019-12-31,21167946112,BTC-USD
2020-01-01,18565664997,BTC-USD
2020-01-02,20802083465,BTC-USD
2020-01-03,28111481032,BTC-USD
2020-01-04,18444271275,BTC-USD
2020-01-05,19725074095,BTC-USD
2020-01-06,23276261598,BTC-USD
2020-01-07,28767291327,BTC-USD
2020-01-08,31672559265,BTC-USD
2020-01-09,24045990466,BTC-USD
2020-01-10,28714583844,BTC-USD
2020-01-11,25521165085,BTC-USD
2020-01-12,22903438381,BTC-USD
2020-01-13,22482910688,BTC-USD
2020-01-14,44841784107,BTC-USD
2020-01-15,40102834650,BTC-USD
2020-01-16,31313981931,BTC-USD
2020-01-17,36372139320,BTC-USD
2020-01-18,32337772627,BTC-USD
2020-01-19,34217320471,BTC-USD
2020-01-20,26422375678,BTC-USD
2020-01-21,24097418512,BTC-USD
2020-01-22,22600204051,BTC-USD
2020-01-23,25770680779,BTC-USD
2020-01-24,24397913026,BTC-USD
2020-01-25,19647331549,BTC-USD
2020-01-26,22177678796,BTC-USD
2020-01-27,28647338393,BTC-USD
2020-01-28,34398744403,BTC-USD
2020-01-29,30682598115,BTC-USD
2020-01-30,32378792851,BTC-USD
2020-01-31,29432489719,BTC-USD
2020-02-01,25922656496,BTC-USD
2020-02-02,30835736946,BTC-USD
2020-02-03,30934096509,BTC-USD
2020-02-04,29893183716,BTC-USD
2020-02-05,35222060874,BTC-USD
2020-02-06,37628823716,BTC-USD
2020-02-07,34522718159,BTC-USD
2020-02-08,35172043762,BTC-USD
2020-02-09,35807884663,BTC-USD
2020-02-10,39386548075,BTC-USD
2020-02-11,37648059389,BTC-USD
2020-02-12,43444303830,BTC-USD
2020-02-13,49356071373,BTC-USD
2020-02-14,43338264162,BTC-USD
2020-02-15,43865054831,BTC-USD
2020-02-16,43374780305,BTC-USD
2020-02-17,45998298413,BTC-USD
2020-02-18,47271023953,BTC-USD
2020-02-19,46992019710,BTC-USD
2020-02-20,44925260237,BTC-USD
2020-02-21,40930547513,BTC-USD
2020-02-22,35838025154,BTC-USD
2020-02-23,41185185761,BTC-USD
2020-02-24,45080496648,BTC-USD
2020-02-25,42515259129,BTC-USD
2020-02-26,50420050762,BTC-USD
2020-02-27,45470195695,BTC-USD
2020-02-28,44605450443,BTC-USD
2020-02-29,35792392544,BTC-USD
2020-03-01,35349164300,BTC-USD
2020-03-02,42857674409,BTC-USD
2020-03-03,42386715821,BTC-USD
2020-03-04,34746706368,BTC-USD
2020-03-05,39698054597,BTC-USD
2020-03-06,40826885651,BTC-USD
2020-03-07,36216930370,BTC-USD
2020-03-08,39973102121,BTC-USD
2020-03-09,46936995808,BTC-USD
2020-03-10,42213940994,BTC-USD
2020-03-11,38682762605,BTC-USD
2020-03-12,53980357243,BTC-USD
2020-03-13,74156772075,BTC-USD
2020-03-14,36154506008,BTC-USD
2020-03-15,33997889639,BTC-USD
2020-03-16,45368026430,BTC-USD
2020-03-17,38622642935,BTC-USD
2020-03-18,37878801016,BTC-USD
2020-03-19,51000731797,BTC-USD
2020-03-20,54442976103,BTC-USD
2020-03-21,42494390880,BTC-USD
2020-03-22,40099664740,BTC-USD
2020-03-23,46491916000,BTC-USD
2020-03-24,48221910672,BTC-USD
2020-03-25,44590107888,BTC-USD
2020-03-26,35319797642,BTC-USD
2020-03-27,34585598367,BTC-USD
2020-03-28,34885225901,BTC-USD
2020-03-29,28373690931,BTC-USD
2020-03-30,37101651525,BTC-USD
2020-03-31,32786468812,BTC-USD
2020-04-01,40346426266,BTC-USD
2020-04-02,47660646124,BTC-USD
2020-04-03,38976504903,BTC-USD
2020-04-04,33185988584,BTC-USD
2020-04-05,29510409856,BTC-USD
2020-04-06,46896904615,BTC-USD
2020-04-07,44243482668,BTC-USD
2020-04-08,37563249549,BTC-USD
2020-04-09,34815139178,BTC-USD
2020-04-10,43622840992,BTC-USD
2020-04-11,31222085946,BTC-USD
2020-04-12,35759567632,BTC-USD
2020-04-13,38619308647,BTC-USD
2020-04-14,34110434052,BTC-USD
2020-04-15,32288311031,BTC-USD
2020-04-16,46783242377,BTC-USD
2020-04-18,32447188386,BTC-USD
2020-04-19,31311210215,BTC-USD
2020-04-20,37747113936,BTC-USD
2020-04-21,32589741511,BTC-USD
2020-04-22,33249153866,BTC-USD
2020-04-23,43500782316,BTC-USD
2020-04-24,34636526286,BTC-USD
2020-04-25,32941541447,BTC-USD
2020-04-26,33070154491,BTC-USD
2020-04-27,36162144725,BTC-USD
2020-04-28,33187959921,BTC-USD
2020-04-29,60201052203,BTC-USD
2020-04-30,66964629541,BTC-USD
2020-05-01,44068389997,BTC-USD
2020-05-02,40134388683,BTC-USD
2020-05-03,47101785174,BTC-USD
2020-05-04,45718796276,BTC-USD
2020-05-05,43148462663,BTC-USD
2020-05-06,49371886931,BTC-USD
2020-05-07,61112700562,BTC-USD
2020-05-08,51780748042,BTC-USD
2020-05-09,46566121841,BTC-USD
2020-05-10,63325279337,BTC-USD
2020-05-11,57119858802,BTC-USD
2020-05-12,42142717533,BTC-USD
2020-05-13,45558144023,BTC-USD
2020-05-14,56426907637,BTC-USD
2020-05-15,48158802327,BTC-USD
2020-05-16,36164766408,BTC-USD
2020-05-17,40084250663,BTC-USD
2020-05-18,41827139896,BTC-USD
2020-05-19,39254288955,BTC-USD
2020-05-20,36546239703,BTC-USD
2020-05-21,39326160532,BTC-USD
2020-05-22,29810773699,BTC-USD
2020-05-23,27727866812,BTC-USD
2020-05-24,32518803300,BTC-USD
2020-05-25,31288157264,BTC-USD
2020-05-26,29584186947,BTC-USD
2020-05-27,32740536902,BTC-USD
2020-05-28,34367073114,BTC-USD
2020-05-29,32896642044,BTC-USD
2020-05-30,32722975141,BTC-USD
2020-05-31,27773290299,BTC-USD
2020-06-01,35198901068,BTC-USD
2020-06-02,39137252109,BTC-USD
2020-06-03,25007459262,BTC-USD
2020-06-04,25921805072,BTC-USD
2020-06-05,23509628646,BTC-USD
2020-06-06,20438419222,BTC-USD
2020-06-07,25015250846,BTC-USD
2020-06-08,21486346312,BTC-USD
2020-06-09,23717842783,BTC-USD
2020-06-10,25706567601,BTC-USD
2020-06-11,30247143440,BTC-USD
2020-06-12,22610564515,BTC-USD
2020-06-13,17564322315,BTC-USD
2020-06-14,18991732746,BTC-USD
2020-06-15,26699704768,BTC-USD
2020-06-16,21565537209,BTC-USD
2020-06-17,20177709879,BTC-USD
2020-06-18,17770083003,BTC-USD
2020-06-19,19632223107,BTC-USD
2020-06-20,17130541557,BTC-USD
2020-06-21,15324301169,BTC-USD
2020-06-22,21104009514,BTC-USD
2020-06-23,17006433272,BTC-USD
2020-06-24,18961716076,BTC-USD
2020-06-25,18616048626,BTC-USD
2020-06-26,18341465837,BTC-USD
2020-06-27,17273093144,BTC-USD
2020-06-28,14560870760,BTC-USD
2020-06-29,16460547078,BTC-USD
2020-06-30,15735797744,BTC-USD
2020-07-01,15971550355,BTC-USD
2020-07-02,16338916796,BTC-USD
2020-07-03,13078970999,BTC-USD
2020-07-04,12290528515,BTC-USD
2020-07-05,12903406143,BTC-USD
2020-07-06,17889263252,BTC-USD
2020-07-07,13839652595,BTC-USD
2020-07-08,19702359883,BTC-USD
2020-07-09,18000702524,BTC-USD
2020-07-10,16860035605,BTC-USD
2020-07-11,13249910444,BTC-USD
2020-07-12,14452361907,BTC-USD
2020-07-13,17519821266,BTC-USD
2020-07-14,18085038362,BTC-USD
2020-07-15,15844731575,BTC-USD
2020-07-16,15713967523,BTC-USD
2020-07-17,13944570749,BTC-USD
2020-07-18,12252601475,BTC-USD
2020-07-19,12939002784,BTC-USD
2020-07-20,13755604146,BTC-USD
2020-07-21,18069581956,BTC-USD
2020-07-22,16532254884,BTC-USD
2020-07-23,18146399002,BTC-USD
2020-07-24,16552768325,BTC-USD
2020-07-25,16610070933,BTC-USD
2020-07-26,20507998997,BTC-USD
2020-07-27,35359749590,BTC-USD
2020-07-28,28766551142,BTC-USD
2020-07-29,24617249715,BTC-USD
2020-07-30,22857247901,BTC-USD
2020-07-31,23160469766,BTC-USD
2020-08-01,26075670303,BTC-USD
2020-08-02,27410067336,BTC-USD
2020-08-03,20271713443,BTC-USD
2020-08-04,21250197042,BTC-USD
2020-08-05,24411254471,BTC-USD
2020-08-06,23400740340,BTC-USD
2020-08-07,23132312867,BTC-USD
2020-08-08,17572057837,BTC-USD
2020-08-09,17489608833,BTC-USD
2020-08-10,26114112569,BTC-USD
2020-08-11,27039782640,BTC-USD
2020-08-12,25064548486,BTC-USD
2020-08-13,27522199497,BTC-USD
2020-08-14,24237958589,BTC-USD
2020-08-15,23354924400,BTC-USD
2020-08-16,20583375490,BTC-USD
2020-08-17,28227687027,BTC-USD
2020-08-18,26043227672,BTC-USD
2020-08-19,24502851117,BTC-USD
2020-08-20,20175242945,BTC-USD
2020-08-21,23762425999,BTC-USD
2020-08-22,20224191306,BTC-USD
2020-08-23,18482062658,BTC-USD
2020-08-24,20681511755,BTC-USD
2020-08-25,26301509932,BTC-USD
2020-08-26,22466660958,BTC-USD
2020-08-27,23240415076,BTC-USD
2020-08-28,19807127588,BTC-USD
2020-08-29,17485597759,BTC-USD
2020-08-30,19760127945,BTC-USD
2020-08-31,22285928250,BTC-USD
2020-09-01,27311555343,BTC-USD
2020-09-02,28037405299,BTC-USD
2020-09-03,31927261555,BTC-USD
2020-09-04,29965130374,BTC-USD
2020-09-05,44916565292,BTC-USD
2020-09-06,37071460174,BTC-USD
2020-09-07,33703098409,BTC-USD
2020-09-08,33430927462,BTC-USD
2020-09-09,24128292755,BTC-USD
2020-09-10,54406443211,BTC-USD
2020-09-11,45201121775,BTC-USD
2020-09-12,36750077324,BTC-USD
2020-09-13,36506852789,BTC-USD
2020-09-14,35453581940,BTC-USD
2020-09-15,32509451925,BTC-USD
2020-09-16,30769986455,BTC-USD
2020-09-17,38151810523,BTC-USD
2020-09-18,26341903912,BTC-USD
2020-09-19,22764204008,BTC-USD
2020-09-20,24699523788,BTC-USD
2020-09-21,28884999244,BTC-USD
2020-09-22,23621787804,BTC-USD
2020-09-23,22986733997,BTC-USD
2020-09-24,23017536742,BTC-USD
2020-09-25,21232549821,BTC-USD
2020-09-26,18105012128,BTC-USD
2020-09-27,18016880214,BTC-USD
2020-09-28,22720365389,BTC-USD
2020-09-29,20459870042,BTC-USD
2020-09-30,20759622010,BTC-USD
2020-10-01,27178227816,BTC-USD
2020-10-02,23127839259,BTC-USD
2020-10-03,17094010304,BTC-USD
2020-10-04,17546792792,BTC-USD
2020-10-05,19385191766,BTC-USD
2020-10-06,22264958686,BTC-USD
2020-10-07,17634388529,BTC-USD
2020-10-08,21962121001,BTC-USD
2020-10-10,22877978588,BTC-USD
2020-10-11,19968627060,BTC-USD
2020-10-14,24103426719,BTC-USD
2020-10-15,24487233058,BTC-USD
2020-10-16,25635480772,BTC-USD
2020-10-17,19130430174,BTC-USD
2020-10-18,18283314340,BTC-USD
2020-10-19,23860769928,BTC-USD
2020-10-20,30915821592,BTC-USD
2020-10-21,43414712626,BTC-USD
2020-10-22,34729759598,BTC-USD
2020-10-23,28974975003,BTC-USD
2020-10-24,24542317940,BTC-USD
2020-10-25,24406920575,BTC-USD
2020-10-26,29461458313,BTC-USD
2020-10-27,33749878156,BTC-USD
2020-10-28,35867318895,BTC-USD
2020-10-29,56499499598,BTC-USD
2020-10-30,30581485201,BTC-USD
2020-10-31,30306464719,BTC-USD
2020-11-01,24453857900,BTC-USD
2020-11-02,30771455468,BTC-USD
2020-11-03,29869951617,BTC-USD
2020-11-04,35116364962,BTC-USD
2020-11-05,40856321439,BTC-USD
2020-11-06,39837841971,BTC-USD
2020-11-07,35024953706,BTC-USD
2020-11-08,26632075029,BTC-USD
2020-11-09,34149115566,BTC-USD
2020-11-10,25574938143,BTC-USD
2020-11-11,29772374934,BTC-USD
2020-11-12,34175758344,BTC-USD
2020-11-13,31599492172,BTC-USD
2020-11-14,27481710135,BTC-USD
2020-11-15,23653867583,BTC-USD
2020-11-16,31526766675,BTC-USD
2020-11-17,39006849170,BTC-USD
2020-11-18,49064800278,BTC-USD
2020-11-19,36985055355,BTC-USD
2020-11-20,36992873940,BTC-USD
2020-11-21,39650210707,BTC-USD
2020-11-22,41280434226,BTC-USD
2020-11-23,42741112308,BTC-USD
2020-11-24,51469565009,BTC-USD
2020-11-25,43710357371,BTC-USD
2020-11-26,61396835737,BTC-USD
2020-11-27,38886494645,BTC-USD
2020-11-28,32601040734,BTC-USD
2020-11-29,31133957704,BTC-USD
2020-11-30,47728480399,BTC-USD
2020-12-01,49633658712,BTC-USD
2020-12-02,37387697139,BTC-USD
2020-12-03,31930317405,BTC-USD
2020-12-04,33872388058,BTC-USD
2020-12-05,27242455064,BTC-USD
2020-12-06,25293775714,BTC-USD
2020-12-07,26896357742,BTC-USD
2020-12-08,31692288756,BTC-USD
2020-12-09,34420373071,BTC-USD
2020-12-10,25547132265,BTC-USD
2020-12-11,27919640985,BTC-USD
2020-12-12,21752580802,BTC-USD
2020-12-13,25450468637,BTC-USD
2020-12-14,22473997681,BTC-USD
2020-12-15,26741982541,BTC-USD
2020-12-16,44409011479,BTC-USD
2020-12-17,71378606374,BTC-USD
2020-12-18,40387896275,BTC-USD
2020-12-19,38487546580,BTC-USD
2020-12-20,37844228422,BTC-USD
2020-12-21,45852713981,BTC-USD
2020-12-22,44171632681,BTC-USD
2020-12-23,51146161904,BTC-USD
2020-12-24,41080759713,BTC-USD
2020-12-25,42068395846,BTC-USD
2020-12-26,48332647295,BTC-USD
2020-12-27,66479895605,BTC-USD
2020-12-28,49056742893,BTC-USD
2020-12-29,45265946774,BTC-USD
2020-12-30,51287442704,BTC-USD
2020-12-31,46754964848,BTC-USD
2021-01-01,40730301359,BTC-USD
2021-01-02,67865420765,BTC-USD
2021-01-03,78665235202,BTC-USD
2021-01-04,81163475344,BTC-USD
2021-01-05,67547324782,BTC-USD
2021-01-06,75289433811,BTC-USD
2021-01-07,84762141031,BTC-USD
2021-01-08,88107519480,BTC-USD
2021-01-09,61984162837,BTC-USD
2021-01-10,79980747690,BTC-USD
2021-01-11,123320567399,BTC-USD
2021-01-12,74773277909,BTC-USD
2021-01-13,69364315979,BTC-USD
2021-01-14,63615990033,BTC-USD
2021-01-15,67760757881,BTC-USD
2021-01-16,57706187875,BTC-USD
2021-01-17,52359854336,BTC-USD
2021-01-18,49511702429,BTC-USD
2021-01-19,57244195486,BTC-USD
2021-01-20,66834573161,BTC-USD
